startTime,activeRegionNum,instruments,cmeAnalyses,linkedEvents,note,N/S,E/W
2015-01-01 08:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Eruption visible in SDO 193, starting ~ 2014-12-31T17.00Z, extended area of post-eruption loops slowly appear NW of disk center around N30W20, eruption seems very slow, a complex, curved filament channel is involved.",,
2015-01-02 14:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Associated with a very gradual eruption in a small AR NE from 2248 starting after the break of day. The source location is ~W40S7. The area of darkening is rather limited.,-7.0,-40.0
2015-01-03 03:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-01-06 18:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,No source region could be found in SDO.,,
2015-01-07 16:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"SDO 193 shows indication of an eruption off the NE limb with its source behind the limb, starting ~20:00, EUVI A images support this (signature of an eruption between 14:48 and 19:50 at the NW close to the limb).",,
2015-01-09 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"There was this faintest CME in the SW, seen most clearly in STEREO A and very faint in C2 right after the break of day(midnight). Source location has not been determined with confidence. It could be activity (darkening) near AR2257 around 23:00 on the previous day (Karin also noticed post-eruption loops in the area). Calculation was made on this assumption using SWPC CAT, however the images don't fit so well and are faint.

SWPC thinks it is a backsided CME, but no sign of source can be found in EUVI A imagery. 

~Anna",,
2015-01-10 05:06:00,,"['STEREO A: SECCHI/COR2', 'SOHO: LASCO/C3']",1,0,The source region of this CME was difficult to find. The eruption is believed to be associated with AR 2255.,,
2015-01-10 08:52:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Not modeled because of extremely narrow half-angle.,,
2015-01-10 13:42:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",0,0,Source location is not clear. It is coming off of the east limb with high latitude.,,
2015-01-11 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,Bright but slow NE CME.  No clear source location found but believed to be a near limb event.  High northern latitude so it is not expected to be significant.,,
2015-01-11 16:48:00,,['SOHO: LASCO/C2'],1,0,"No clear source, CME was faint and high-latitude.",,
2015-01-11 21:46:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,High-latitude CME with no clear source region.  This CME is similar to the 2015-01-11T16:48Z CME.,,
2015-01-11 23:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"There was a flare from AR2260 (N10W28) around 22:15UT, didn't appear to have a CME but there was a large wave transient launched towards the NE at the right time.  However, it's tough to tell for sure. This CME looks very similar to the 16:48Z and 21:46Z CMEs, so they might have similar sources.",,
2015-01-12 01:25:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,No clear source - could be associated with the flare and maybe eruption starting around 23:15UT from AR 2206 (located at N10W28).,,
2015-01-12 13:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Another north pole CME similar to the 2015-01-11T16:48Z, 21:46Z and 23:12Z CMEs.  No clear source region again.",,
2015-01-12 15:36:00,12261.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"Two-ribbon flare, dimming and prominence eruption from AR 2261 viewed in AIA 193A images starting around 15:10 UT.",-10.0,40.0
2015-01-12 16:57:00,12255.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,There are two possible source regions: C7.0 flare + dimming from AR 2255  from 13:55 UT - 15:40 UT in the AIA 193Å images.  There was also a flare and possible CME from an AR SE of disk center in the STEREO-A EUVI 195 images from 15:39 - 16:09 UT.   The measurements are based on the assumption that the first source region is correct.,-15.0,-55.0
2015-01-13 05:24:00,12257.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,The source is opening field lines above the flaring active region.  CME was very narrow.,7.0,-70.0
2015-01-13 13:25:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Another ragged CME similar to the 2015-01-11T16:48Z, 21:46Z, 23:12Z, and 2015-01-12T13:36:00 CMEs.   Source looks like it may be a brightening loop region close to the north pole.",,
