occurrence_time,latitude,longitude,halfAngle,speed,type,note,analysis_time,time_before_analysis,time_since_last_cme
2015-01-01 08:24:00,31.0,26.0,32.0,350.0,S,"using both SWPC_cat and STEREO_cat with approx. lat from SWPC_cat (which is also in approx. agreement of location of source region), CME very faint, only 3 images were fit in SWPC_cat, others were too noisy",2015-01-01 23:14:00,53400.0,
2015-01-02 14:36:00,3.0,34.0,23.0,353.0,S,Reanalyzed with more C2 and STEREOA imagery,2015-01-02 23:55:00,33540.0,108720.0
2015-01-03 03:24:00,-49.0,-82.0,42.0,210.0,S,"Source region could not be found. It's possible that this CME might be associated with a small filament eruption occurring around 2015-01-02T21:48Z as seen in SDO AIA 304. However, the filament is extremely small and it's difficult to see whether it erupted or just left the field of view.",2015-01-03 23:40:00,72960.0,46080.0
2015-01-06 18:24:00,9.0,39.0,12.0,532.0,C,,2015-01-07 00:25:00,21660.0,313200.0
2015-01-07 16:24:00,67.0,-102.0,20.0,579.0,C,,2015-01-08 03:10:00,38760.0,79200.0
2015-01-09 00:00:00,-10.0,2.0,13.0,265.0,S,,2015-01-09 05:54:00,21240.0,113760.0
2015-01-10 05:06:00,-19.0,31.0,16.0,510.0,C,,2015-01-10 07:45:00,9540.0,104760.0
2015-01-10 08:52:00,7.0,-90.0,15.0,260.0,S,Re-measured because other measurements didn't seem realistic.  Plane of sky measurements because no additional information to indicate direction.,2015-01-10 21:22:00,45000.0,13560.0
2015-01-11 00:00:00,59.0,-100.0,30.0,200.0,S,"Slow, high northern latitude CME.",2015-01-11 16:15:00,58500.00000000001,54480.0
2015-01-11 16:48:00,72.0,-90.0,15.0,250.0,S,"Measurements are plane of sky only - not enough information to infer direction, but CME was very close to north pole.",2015-01-12 07:18:00,52200.0,60480.00000000001
2015-01-11 21:46:00,73.0,-90.0,15.0,480.0,S,"CME measurements are plane of sky, CME was narrow, bright and high-latitude.  Propagated non-radially so was difficult to triangulate.",2015-01-12 04:38:00,24720.0,17880.0
2015-01-11 23:12:00,74.0,-90.0,17.0,690.0,C,"This measurement is plane of sky because it's tough to tell the direction - CME was very bright and narrow, so it probably came from close to the limb.  Longitude is set to -90 just for plane of sky purposes.",2015-01-12 03:54:00,16920.0,5160.0
2015-01-12 01:25:00,15.0,90.0,21.0,390.0,S,Measurement is plane of sky only.,2015-01-12 10:09:00,31440.000000000004,7980.000000000001
2015-01-12 13:36:00,81.0,-90.0,14.0,510.0,C,"CME was non-radial.  First appeared to the west of the north pole, but final trajectory was slightly to the east.",2015-01-12 20:26:00,24600.0,43860.0
2015-01-12 15:36:00,3.0,-45.0,27.0,880.0,C,"Longitude of CME is based on assumed source region.  The speed listed is the asymptotic speed approaching 21.5 RSun - it was going over 1200 km/sec in the beginning.  There is probably more of a southward extension of the CME, hard to see behind the C3 occulter.",2015-01-12 18:39:00,10980.0,7200.0
2015-01-12 16:57:00,13.0,55.0,27.0,350.0,S,"CME was a lopsided shape, with a fainter leading edge and a brighter interior front. Measurements are of the outer, fainter front.",2015-01-13 02:28:00,34260.0,4860.0
2015-01-13 05:24:00,25.0,70.0,7.0,560.0,C,"CME was very narrow, assumed 3D direction was based on flaring location.",2015-01-13 11:50:00,23160.0,44820.0
2015-01-13 13:25:00,88.0,90.0,24.0,475.0,S,Plane of sky measurements (CME was probably close to the plane of the sky).,2015-01-13 21:00:00,27300.0,28860.0
2015-01-13 15:24:00,26.0,135.0,45.0,600.0,C,"This was faint, broad halo-type covering the NW limb of the Sun.   The latitude is based on a guess that the CME was 45 degrees out of the plane of the sky.",2015-01-13 20:53:00,19740.0,7140.0
2015-01-13 18:00:00,45.0,-45.0,25.0,300.0,S,"These are very very approximate parameters. Location is based on SDO EUV reconfiguration seen in the northeastern quadrant around the time of the CME. Speed based on STEREO CAT with plane of sky adjustment. SWPC_CAT was not useful at all for this event. Anyhow, the event will most likely not have any space weather consequences.",2015-01-14 18:45:00,89100.0,9360.0
2015-01-14 16:36:00,35.0,85.0,20.0,257.0,S,,2015-01-15 05:13:00,45420.0,81360.0
2015-01-15 04:24:00,44.0,-27.0,32.0,193.0,S,,2015-01-15 20:24:00,57600.0,42480.0
2015-01-15 15:36:00,43.0,-12.0,20.0,363.0,S,"using STEREO_cat with approximate source location from SDO, parameters measured quite close to disk, should be remeasured when updated images are available.",2015-01-16 01:18:00,34920.0,40320.0
2015-01-16 05:36:00,62.0,78.0,20.0,271.0,S,,2015-01-16 16:20:00,38640.0,50400.0
2015-01-17 10:36:00,-42.0,41.0,16.0,437.0,S,,2015-01-17 17:52:00,26160.0,104400.0
2015-01-19 08:00:00,29.0,-80.0,27.0,315.0,S,Re-measured using later C3 images.  The longitude was based on the apparent source region.,2015-01-19 22:34:00,52440.0,163440.0
2015-01-20 02:48:00,60.0,130.0,35.0,1350.0,O,CME longitude is based on source region observed in STEREO-A EUVI images.,2015-01-20 05:32:00,9840.0,67680.0
2015-01-20 12:24:00,86.0,90.0,26.0,540.0,C,"This CME had a very faint, ragged front, and was very difficult to measure.   Measurements are plane of sky only.",2015-01-20 19:22:00,25080.0,34560.0
2015-01-21 19:24:00,36.0,-30.0,22.0,447.0,S,,2015-01-22 03:26:00,28920.0,111600.0
2015-01-24 08:00:00,-26.0,-30.0,17.0,160.0,S,,2015-01-25 01:15:00,62100.00000000001,218160.0
2015-01-24 15:48:00,-58.0,7.0,53.0,357.0,S,,2015-01-25 13:44:00,78960.0,28080.0
2015-01-25 13:48:00,60.0,130.0,13.0,350.0,S,,2015-01-25 23:30:00,34920.0,79200.0
2015-01-25 16:24:00,0.0,-75.0,26.0,268.0,S,"Rough measurement, please re-measure!",2015-01-26 05:34:00,47400.0,9360.0
2015-01-26 02:00:00,40.0,156.0,19.0,270.0,S,,2015-01-26 12:27:00,37620.0,34560.0
2015-01-26 04:00:00,-26.0,-85.0,26.0,563.0,C,,2015-01-26 10:38:00,23880.0,7200.0
2015-01-28 22:30:00,-26.0,-97.0,16.0,755.0,C,,2015-01-29 02:08:00,13080.0,239400.00000000003
2015-01-28 23:06:00,15.0,-82.0,35.0,401.0,S,,2015-01-29 07:00:00,28440.0,2160.0
2015-01-29 09:12:00,62.0,-99.0,31.0,267.0,S,Measurements are very preliminary.  CME appears very faint and slow.,2015-01-29 22:05:00,46380.0,36360.0
2015-01-31 11:00:00,10.0,25.0,24.0,456.0,S,,2015-01-31 16:45:00,20700.0,179280.0
2015-02-01 14:36:00,67.0,-75.0,44.0,550.0,C,"This CME was not modeled due to the high latitude.

A smaller lon is also compatible with the
coronagraph images. You can see the eruption in SDO and even some indication in EUVI A, so the source is at/behind the limb (from earth).  As you can see in STA right next to the AR is a CH, this will probably push the CME to higher lat and lower longitudes.",2015-02-01 17:25:00,10140.0,99360.0
2015-02-02 10:00:00,26.0,53.0,14.0,223.0,S,"unsure of source location, so parameters are a guess",2015-02-03 02:47:00,60420.00000000001,69840.0
2015-02-03 12:48:00,23.0,-40.0,20.0,980.0,C,"3D projection is based on presumed source location.  CME had a ragged front, difficult to measure.",2015-02-03 16:11:00,12180.0,96480.0
2015-02-04 20:48:00,53.0,-54.0,16.0,332.0,S,,2015-02-05 21:59:00,90660.0,115200.0
2015-02-05 14:12:00,-21.0,146.0,19.0,150.0,S,,2015-02-06 11:19:00,76020.0,62640.00000000001
2015-02-07 17:00:00,-21.0,-97.0,27.0,471.0,S,,2015-02-08 00:29:00,26940.0,182880.0
2015-02-08 08:48:00,-47.0,-63.0,41.0,161.0,S,,2015-02-09 08:37:00,85740.0,56880.0
2015-02-09 02:48:00,-1.0,-61.0,18.0,182.0,S,,2015-02-09 11:55:00,32820.0,64800.00000000001
2015-02-09 06:24:00,-1.0,-66.0,20.0,289.0,S,,2015-02-09 21:06:00,52920.0,12960.0
2015-02-09 23:24:00,26.0,-65.0,41.0,1040.0,O,"CME was very bright, no clear deceleration out to 21.5 RSun.  Longitude is based on EUV signatures - appeared to be coming from Eastern edge of flaring region.",2015-02-10 03:03:00,13140.0,61200.00000000001
2015-02-10 08:24:00,0.0,-70.0,26.0,650.0,C,"This CME was very asymmetric and was rapidly decelerating, starting out at over 1000 km/sec.  Longitude is based on EUV source location.",2015-02-10 11:54:00,12600.0,32400.000000000004
2015-02-11 00:00:00,57.0,-73.0,21.0,217.0,S,,2015-02-11 16:36:00,59760.00000000001,56160.0
2015-02-13 04:48:00,-7.0,-145.0,23.0,724.0,C,Parameters recalculated based on significant darkening in EUVI A imagery which became available,2015-02-13 09:10:00,15720.000000000002,190080.0
2015-02-13 23:06:00,40.0,-110.0,45.0,305.0,S,,2015-02-14 06:54:00,28080.0,65880.0
2015-02-14 11:18:00,48.0,-114.0,25.0,460.0,S,No source could be found.,2015-02-15 16:16:00,104280.0,43920.0
2015-02-15 00:00:00,-6.0,-87.0,25.0,175.0,S,,2015-02-15 17:10:00,61800.00000000001,45720.0
2015-02-15 06:00:00,23.0,-63.0,29.0,343.0,S,,2015-02-15 15:02:00,32520.000000000004,21600.0
2015-02-16 07:24:00,26.0,-104.0,23.0,109.0,S,,2015-02-17 17:58:00,124440.00000000001,91440.0
2015-02-18 00:12:00,35.0,154.0,16.0,826.0,C,,2015-02-18 02:48:00,9360.0,146880.0
2015-02-18 09:12:00,28.0,-32.0,17.0,530.0,C,CME very faint with uncertain front. A highly unlikely probability of a glancing blow to Earth,2015-02-18 14:32:00,19200.0,32400.000000000004
2015-02-19 06:48:00,7.0,-75.0,30.0,309.0,S,,2015-02-19 16:58:00,36600.0,77760.0
2015-02-20 04:00:00,-60.0,90.0,45.0,450.0,S,"Note:  this may be part of the 2015-02-20T09:12Z CME, or it may be two different overlapping structures.  This CME starts *very* gradually, so the start time is the time that the CME seemed to pick up speed.",2015-02-20 19:50:00,57000.0,76320.0
2015-02-20 09:12:00,-65.0,12.0,27.0,300.0,S,"Note:  This may be part of the 2015-02-20T04:00Z CME, they are either separate overlapping structures or it is an oddly-shaped CME.  The latitude is very approximate.",2015-02-20 23:00:00,49680.0,18720.0
2015-02-21 00:24:00,-50.0,-145.0,25.0,311.0,S,No source could be found in SDO or STA EUVI. Not modeled because of slow speed and strong southern latitude.,2015-02-21 12:55:00,45060.0,54720.0
2015-02-21 09:36:00,-23.0,135.0,45.0,914.0,C,,2015-02-21 14:03:00,16020.000000000002,33120.0
2015-02-21 22:00:00,-27.0,134.0,19.0,772.0,C,,2015-02-22 00:50:00,10200.0,44640.0
2015-02-22 20:36:00,-5.0,138.0,16.0,850.0,C,Measurement primarily made with C2 and a few C3 frames.  May want to re-measure when later imagery is available in case it is slower then.,2015-02-23 00:54:00,15480.000000000002,81360.0
2015-02-24 03:24:00,-68.0,48.0,18.0,204.0,S,Measured close to Sun,2015-02-24 21:20:00,64560.00000000001,110880.0
2015-02-24 10:12:00,-32.0,-129.0,43.0,830.0,C,,2015-02-24 14:37:00,15900.000000000002,24480.0
2015-02-24 14:48:00,-9.0,107.0,18.0,360.0,S,difficult to locate the source. The lat/lon is from swpc_cat fit.,2015-02-24 23:45:00,32220.000000000004,16560.0
2015-02-25 00:00:00,37.0,55.0,36.0,420.0,S,meas. using source location and single spacecraft (SOHO) w/SWPC_CAT,2015-02-25 10:21:00,37260.0,33120.0
2015-02-26 15:12:00,21.0,88.0,34.0,160.0,S,,2015-02-27 09:25:00,65580.0,141120.0
2015-02-27 06:36:00,0.0,44.0,30.0,255.0,S,,2015-02-27 18:31:00,42900.0,55440.0
2015-02-27 17:36:00,-11.0,41.0,15.0,230.0,S,,2015-02-28 07:57:00,51660.0,39600.0
2015-02-27 18:00:00,19.0,46.0,20.0,350.0,S,,2015-02-28 04:20:00,37200.0,1440.0
2015-02-28 00:00:00,30.0,80.0,26.0,100.0,S,,2015-03-01 11:45:00,128700.00000000001,21600.0
2015-02-28 03:12:00,26.0,-70.0,30.0,150.0,S,,2015-03-01 02:30:00,83880.0,11520.0
2015-02-28 04:24:00,-9.0,-176.0,46.0,455.0,S,,2015-02-28 12:15:00,28260.0,4320.0
2015-02-28 15:12:00,71.0,61.0,26.0,155.0,S,Averaged measurements between two swpc_cat simulations.,2015-03-01 14:00:00,82080.0,38880.0
2015-02-28 21:48:00,3.0,-170.0,43.0,1267.0,O,,2015-02-28 23:49:00,7260.0,23760.0
2015-03-01 02:24:00,-33.0,-155.0,49.0,320.0,S,,2015-03-01 11:23:00,32340.000000000004,16560.0
2015-03-01 07:00:00,3.0,93.0,35.0,529.0,C,,2015-03-01 12:44:00,20640.0,16560.0
2015-03-01 12:48:00,-15.0,-170.0,45.0,920.0,C,remeasurement,2015-03-01 16:14:00,12360.0,20880.0
2015-03-01 17:24:00,33.0,85.0,37.0,319.0,S,,2015-03-02 03:43:00,37140.0,16560.0
2015-03-01 22:36:00,39.0,80.0,28.0,229.0,S,,2015-03-02 12:31:00,50100.0,18720.0
2015-03-02 06:24:00,26.0,78.0,30.0,241.0,S,,2015-03-02 19:18:00,46440.0,28080.0
2015-03-02 15:56:00,40.0,87.0,30.0,443.0,S,,2015-03-03 00:14:00,29880.000000000004,34320.0
2015-03-03 03:18:00,8.0,90.0,28.0,330.0,S,,2015-03-03 12:27:00,32940.0,40920.0
2015-03-03 15:48:00,-18.0,-128.0,43.0,725.0,C,remeasured,2015-03-03 20:00:00,15120.000000000002,45000.0
2015-03-03 21:11:00,27.0,89.0,30.0,470.0,S,,2015-03-04 03:35:00,23040.0,19380.0
2015-03-05 20:36:00,-20.0,-95.0,30.0,585.0,C,remeasurement,2015-03-06 02:04:00,19680.0,170700.0
2015-03-06 04:49:00,-4.0,-108.0,47.0,900.0,C,remeasurement,2015-03-06 09:18:00,16140.000000000002,29580.000000000004
2015-03-06 07:12:00,-11.0,-90.0,47.0,622.0,C,This CME had a very ragged front and was difficult to distinguish because it overlapped with the prior CME.  The initial speeds were much higher (>1000 km/s) but it decelerated rapidly.,2015-03-06 12:30:00,19080.0,8580.0
2015-03-07 22:24:00,-22.0,-72.0,43.0,1200.0,O,remeasured,2015-03-08 01:24:00,10800.0,141120.0
2015-03-10 00:00:00,-11.0,-50.0,32.0,1200.0,O,"CME had a bright loop heading eastward as well as a halo component.  The measurement reflects the loop - the halo may be due to a shock instead of ""true"" CME mass.",2015-03-10 02:56:00,10560.0,178560.0
2015-03-10 03:36:00,6.0,-45.0,37.0,1500.0,O,remeasured,2015-03-10 05:47:00,7860.000000000001,12960.0
2015-03-11 00:24:00,12.0,-80.0,24.0,545.0,C,Longitude is based on the similarities between this CME and two other CMEs:  2015-03-11T17:00Z and 2015-03-12T03:12Z. These were associated with an active region located at E80.,2015-03-11 06:36:00,22320.0,74880.0
2015-03-11 10:24:00,55.0,45.0,40.0,600.0,C,,2015-03-11 16:30:00,21960.0,36000.0
2015-03-11 17:00:00,14.0,-80.0,24.0,375.0,S,Longitude is based on apparent source region in AIA 193 images.,2015-03-12 02:58:00,35880.0,23760.0
2015-03-12 03:12:00,12.0,-80.0,17.0,250.0,S,Longitude is based on assumed source region in AIA 193 images.,2015-03-12 17:51:00,52740.0,36720.0
2015-03-14 17:06:00,-59.0,15.0,34.0,282.0,S,measurement made by Sandro on SWPC_Cat,2015-03-15 05:23:00,44220.0,222840.0
2015-03-15 02:00:00,-15.0,28.0,38.0,1000.0,O,remeasured,2015-03-15 04:40:00,9600.0,32040.000000000004
2015-03-15 08:36:00,-5.0,-92.0,21.0,192.0,S,,2015-03-16 03:12:00,66960.0,23760.0
2015-03-18 00:12:00,-5.0,64.0,20.0,498.0,S,,2015-03-18 07:36:00,26640.0,228960.0
2015-03-18 15:12:00,-19.0,-40.0,15.0,552.0,C,POS measurements using location and CME projection graph.,2015-03-19 08:20:00,61680.00000000001,54000.0
2015-03-18 21:42:00,-20.0,-87.0,33.0,499.0,S,,2015-03-19 07:09:00,34020.0,23400.0
2015-03-20 02:00:00,-3.0,88.0,39.0,825.0,C,,2015-03-20 07:14:00,18840.0,101880.0
2015-03-20 18:36:00,-11.0,72.0,15.0,445.0,S,,2015-03-21 01:56:00,26400.0,59760.00000000001
2015-03-21 07:36:00,6.0,58.0,10.0,162.0,S,This CME was very narrow and faint. It is possibly associated with an eruption seen near the center of the disk in SDO 193 around 5UT. It is not expected to have any notable space weather impacts.,2015-03-22 02:15:00,67140.0,46800.0
2015-03-22 19:36:00,14.0,20.0,27.0,236.0,S,Estimated longitude is very uncertain  because the filament is stretched latitudinally (from almost 0 degrees to 40+). Speed is also extremely uncertain.,2015-03-23 09:49:00,51180.0,129600.00000000001
2015-03-24 08:36:00,-3.0,100.0,50.0,1450.0,O,"The longitude of the CME is based on the presumed source region, AR 2297 behind the west limb.",2015-03-24 10:40:00,7440.000000000001,133200.0
2015-03-27 00:00:00,18.0,77.0,18.0,397.0,S,,2015-03-27 17:26:00,62760.00000000001,228240.0
2015-03-27 14:12:00,38.0,-97.0,33.0,411.0,S,,2015-03-27 23:30:00,33480.0,51120.0
2015-03-27 19:00:00,-40.0,20.0,35.0,494.0,S,,2015-03-28 07:19:00,44340.0,17280.0
2015-03-28 18:04:00,-43.0,-51.0,31.0,358.0,S,,2015-03-28 23:38:00,20040.0,83040.0
2015-03-29 00:00:00,14.0,95.0,33.0,175.0,S,Very slow. Measured based on one of the features that seemed to have some structure,2015-03-30 04:00:00,100800.0,21360.0
2015-03-29 18:36:00,14.0,-126.0,55.0,500.0,C,,2015-03-30 01:30:00,24840.0,66960.0
2015-03-31 06:24:00,28.0,-82.0,22.0,417.0,S,,2015-03-31 15:54:00,34200.0,128880.00000000001
2015-04-02 00:00:00,-12.0,95.0,18.0,370.0,S,extremely faint CME,2015-04-02 08:26:00,30360.000000000004,149760.0
2015-04-02 05:48:00,16.0,-95.0,37.0,550.0,C,measurement by Anna using STEREO_cat,2015-04-02 11:52:00,21840.0,20880.0
2015-04-03 07:48:00,9.0,-95.0,39.0,430.0,S,,2015-04-03 15:30:00,27720.0,93600.0
2015-04-04 23:36:00,-25.0,-29.0,36.0,1090.0,O,,2015-04-05 02:45:00,11340.0,143280.0
2015-04-05 04:00:00,-21.0,38.0,20.0,415.0,S,,2015-04-05 12:16:00,29760.000000000004,15840.000000000002
2015-04-05 10:24:00,-14.0,95.0,24.0,175.0,S,Slow and Narrow CME,2015-04-06 03:45:00,62460.00000000001,23040.0
2015-04-05 23:48:00,-3.0,-36.0,29.0,409.0,S,,2015-04-06 04:49:00,18060.0,48240.0
2015-04-06 01:25:00,55.0,90.0,31.0,285.0,S,,2015-04-06 21:57:00,73920.0,5820.0
2015-04-06 05:48:00,11.0,-34.0,25.0,558.0,C,,2015-04-06 11:16:00,19680.0,15780.000000000002
2015-04-06 20:36:00,-9.0,-15.0,22.0,917.0,C,Analysis based on early C2 difference images and on the front of the feature seen in SE.,2015-04-06 23:03:00,8820.0,53280.0
2015-04-09 23:12:00,-15.0,45.0,45.0,500.0,C,,2015-04-10 07:00:00,28080.0,268560.0
2015-04-11 09:12:00,-15.0,-105.0,15.0,350.0,S,Very faint -> rough measurement but shouldn't be significant.,2015-04-11 18:00:00,31680.000000000004,122400.00000000001
2015-04-12 03:12:00,63.0,151.0,35.0,1000.0,O,"Fast, but high latitude",2015-04-12 06:00:00,10080.0,64800.00000000001
2015-04-12 09:24:00,-2.0,82.0,28.0,335.0,S,Very very early/rough measurement.  Only 3 frames used (2 in C2),2015-04-12 20:45:00,40860.0,22320.0
2015-04-12 10:00:00,18.0,-70.0,30.0,350.0,S,Rough measurement using primarily C2 imagery,2015-04-12 20:30:00,37800.0,2160.0
2015-04-12 12:24:00,31.0,-57.0,18.0,310.0,S,,2015-04-13 01:15:00,46260.0,8640.0
2015-04-13 00:00:00,-1.0,61.0,42.0,556.0,C,,2015-04-13 05:45:00,20700.0,41760.0
2015-04-14 02:48:00,55.0,-150.0,47.0,1075.0,O,The lat and lon for this CME could vary greatly.  CME has a bright front and an extended halo that is much wider.,2015-04-14 05:43:00,10500.0,96480.0
